title,url,seendate,domain,NM_count,MO_count,ID_count,ND_count,SC_count,OH_count,ALL_RELEV_count,PA_count,AL_count,FL_count,IA_count,OR_count,NH_count,VA_count,AZ_count,KY_count,CT_count,USA_count,MI_count,KS_count,VT_count,RI_count,CA_count,ME_count,OK_count,IN_count,MS_count,NV_count,MT_count,TN_count,TX_count,GA_count,UT_count,HI_count,NE_count,MN_count,WI_count,CO_count,IL_count,WV_count,LA_count,AK_count,DE_count,NY_count,MD_count,WY_count,NC_count,SD_count,MA_count,NJ_count
Montana Attorney General Rules Critical Race Theory Violates Equal Protection,https://www.newsweek.com/montana-critical-race-theory-1595633,20210527T211500Z,newsweek.com,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBC pastors propose resolution to condemn critical race theory | Church & Ministries,https://www.christianpost.com:443/church-ministries/sbc-pastors-propose-resolution-to-condemn-critical-race-theory.html,20210527T214500Z,christianpost.com,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana AG bans critical - race theory programs amid red - state backlash,https://www.washingtontimes.com:443/news/2021/may/27/montana-ag-bans-critical-race-theory-programs-amid/,20210527T221500Z,washingtontimes.com,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Loury : People Pushing Critical Race Theory Are Overplaying Their Hand & People Are Not Going To Put Up With It,https://radio.foxnews.com/2021/05/27/glenn-loury-people-pushing-critical-race-theory-are-overplaying-their-hand-people-are-not-going-to-put-up-with-it/,20210527T223000Z,radio.foxnews.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
States Banning Critical Race Theory in Government Add Up,https://www.theepochtimes.com/states-banning-critical-race-theory-in-government-add-up_3833931.html,20210527T230000Z,theepochtimes.com,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
What Is Critical Race Theory and Why Are Some People So Mad at It ? ,https://www.snopes.com/news/2021/05/27/what-is-critical-race-theory/,20210527T230000Z,snopes.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona GOP looks to limit critical race theory trainings,https://www.stamfordadvocate.com/news/article/Arizona-GOP-looks-to-limit-critical-race-theory-16208882.php,20210528T000000Z,stamfordadvocate.com,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board of Education says Forsyth County Schools  does not and will not teach  Critical Race Theory in statement,https://www.forsythnews.com/news/education/board-of-education-says-forsyth-county-schools-does-not-and-will-not-teach-critical-race-theory-in-statement/,20210528T001500Z,forsythnews.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida largest teacher union is against banning critical race theory in classrooms,https://www.winknews.com/2021/05/27/floridas-largest-teacher-union-is-against-banning-critical-race-theory-in-classrooms/,20210528T001500Z,winknews.com,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Woke Superintendent :  Conditions ,  Expectation on Anti - CRT Parent",https://www.breitbart.com/politics/2021/05/27/woke-superintendent-places-conditions-expectations-on-anti-crt-parents-attendance-at-graduation/,20210528T001500Z,breitbart.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Lamont Hill and Christopher Rufo debate Critical Race Theory ( and it pretty good ) ,https://hotair.com/john-s-2/2021/05/27/marc-lamont-hill-and-christopher-rufo-debate-critical-race-theory-and-its-pretty-good-n393012,20210528T003000Z,hotair.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana AG finds critical race theory programs illegal,https://billingsgazette.com/news/state-and-regional/govt-and-politics/montana-ag-finds-critical-race-theory-programs-illegal/article_dbc5ce5e-5dfe-5d37-aa46-b987d396fcb5.html,20210528T003000Z,billingsgazette.com,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Critical Race Theory Is the New Racism  Interview With Thomas K . Lindsay,https://www.theepochtimes.com/critical-race-theory-is-the-new-racism-interview-with-thomas-k-lindsay_3833978.html,20210528T004500Z,theepochtimes.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Misleading Effort to Cancel Chip and Joanna Gaines Over Critical Race Theory,https://redstate.com/nick-arama/2021/05/27/the-misleading-effort-to-cancel-chip-and-joanna-gaines-over-critical-race-theory-n387508,20210528T004500Z,redstate.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
