headline,cluster_label
  We out : Charlie Dates on why his church is leaving the SBC over rejection of critical race theory,19
Two Prominent Pastors Break With SBC After Critical Race T ...... | News & Reporting,62
Maintaining and expanding the ban on critical race theory -- Society Child -- Sott . net,2
Texas megachurch pastor cuts ties with SBC over CRT,34
Feeling guilty about everything ? Thank critical race theory,19
Only a Critical Race Theorist Could Be so Racist,39
"Continuing saga : SBC leaders , seminary heads at odds on CRT",9
Marxist  Critical Race Theory  seeps into U . S . courts,68
"Fred Luter , JD Greear speak out on dispute over CRT",31
Marxist  Critical Race Theory  Seeps Into U . S . Courts | The Heritage Foundation,68
"Biden picks  social justice  architect for education secretary , ahead of expectations of Trump  critical race theory  ban reversal -- Puppet Masters -- Sott . net",89
Racist Sharpton Claims the  White Church  Is  Sinning  for Not Teaching Critical Race Theory,76
"Luter , Greear latest Southern Baptist leaders to weigh in as turmoil over race theory grows",76
RIGHT SPEAK : Future Biden Education Secretary Oversaw Creation of Critical Theory Class for High Schoolers ; Marxist  Critical Race Theory  Seeps Into U . S . Courts,89
Black pastor leaves Southern Baptists over critical race theory,76
Hans von Spakovsky : Marxist  Critical Race Theory  Seeps Into U . S . Courts The Patriot Post,68
Critical race theory : a ruling - class ideology,68
First Experience With Completely Leadless CRT,58
The SBC critical race theory debacle,0
Legal Theory Blog : Fox on Race and Assisted Reproduction,96
GSE CRT portfolios mark month - over - month improvement in delinquencies,21
